Instance,GraphType, n , p , R , r ,obj_IP,IP_Time,ContrGen_Time,Tot_Time,#Ball_Ctrs,#O_Ctrs,#All_Ctrs,Gap,OoM
eilon10_1.csv , Star ,10,2,0.1,0.3,4,0.0041,1.538,1.5421,314,2402,2728,0,0
eilon10_2.csv , Star ,10,2,0.1,0.3,4,0.0029,2.1617,2.1646,182,1205,1399,0,0
eilon10_3.csv , Star ,10,2,0.1,0.3,4,0.0026,1.2651,1.2678,174,1204,1390,0,0
eilon10_4.csv , Star ,10,2,0.1,0.3,5,0.0038,3.6745,3.6783,188,1402,1602,0,0
eilon10_5.csv , Star ,10,2,0.1,0.3,4,0.0032,0.9888,0.992,182,1092,1286,0,0
eilon10_1.csv , Star-Ring ,10,2,0.1,0.3,3,0.0106,1.8687,1.8792,462,8132,8606,0,0
eilon10_2.csv , Star-Ring ,10,2,0.1,0.3,4,0.0059,2.2323,2.2382,247,4250,4509,0,0
eilon10_3.csv , Star-Ring ,10,2,0.1,0.3,4,0.0055,1.3997,1.4052,227,4245,4484,0,0
eilon10_4.csv , Star-Ring ,10,2,0.1,0.3,5,0.007,2.1915,2.1985,252,4981,5245,0,0
eilon10_5.csv , Star-Ring ,10,2,0.1,0.3,4,0.0055,0.8373,0.8428,244,4004,4260,0,0
eilon10_1.csv , Cycle ,10,2,0.1,0.3,4,0.0042,1.604,1.6083,314,2402,2728,0,0
eilon10_2.csv , Cycle ,10,2,0.1,0.3,4,0.0029,2.2318,2.2348,182,1205,1399,0,0
eilon10_3.csv , Cycle ,10,2,0.1,0.3,4,0.003,1.3389,1.3419,174,1204,1390,0,0
eilon10_4.csv , Cycle ,10,2,0.1,0.3,5,0.0038,2.1953,2.1991,188,1402,1602,0,0
eilon10_5.csv , Cycle ,10,2,0.1,0.3,4,0.0027,0.7637,0.7663,182,1092,1286,0,0
eilon10_1.csv , Line ,10,2,0.1,0.3,4,0.0041,1.5666,1.5708,314,2402,2728,0,0
eilon10_2.csv , Line ,10,2,0.1,0.3,4,0.0029,2.2606,2.2635,182,1205,1399,0,0
eilon10_3.csv , Line ,10,2,0.1,0.3,4,0.0029,1.3367,1.3396,174,1204,1390,0,0
