Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_1 , Comp ,10,2,0.1,0.3,4,0.118596,0," [[4, 6, 9], [8]]",4,0,0.045382,0," [[8], [4, 6, 9]]",4,0,0.051854,0," [[8], [4, 6, 9]]"
eilon10_2 , Comp ,10,2,0.1,0.3,5,0.138298,0," [[6, 8, 9], [3, 5]]",5,0,0.032517,0," [[3, 5], [6, 8, 9]]",5,0,0.048533,0," [[3, 5], [6, 8, 9]]"
eilon10_3 , Comp ,10,2,0.1,0.3,4,0.140709,0," [[6, 9], [1, 3]]",4,0,0.031879,0," [[2, 6], [1, 3]]",4,0,0.036034,0," [[2, 6], [1, 3]]"
eilon10_4 , Comp ,10,2,0.1,0.3,5,0.169974,0," [[1, 5], [0, 8, 9]]",5,0,0.044881,0," [[1, 5], [0, 4, 8]]",5,0,0.052739,0," [[1, 5], [0, 4, 8]]"
eilon10_5 , Comp ,10,2,0.1,0.3,4,0.131521,0," [[1, 2], [3, 6]]",4,0,0.037311,0," [[1, 2], [3, 6]]",4,0,0.033482,0," [[1, 2], [3, 6]]"
eilon10_1 , Comp ,10,6,0.1,0.3,0,0.458192,1, [],0,0,0.225315,1, [],0,0,0.212105,1, []
eilon10_2 , Comp ,10,6,0.1,0.3,6,1.285269,0," [[8], [1], [9], [5], [3], [6]]",6,0,0.147674,0," [[6], [5], [9], [8], [3], [1]]",6,0,0.141145,0," [[6], [5], [9], [8], [3], [1]]"
eilon10_3 , Comp ,10,6,0.1,0.3,6,1.385225,0," [[2], [1], [4], [9], [6], [3]]",6,0,0.161322,0," [[6], [3], [9], [2], [1], [4]]",6,0,0.167154,0," [[6], [3], [9], [2], [1], [4]]"
eilon10_4 , Comp ,10,6,0.1,0.3,6,1.699048,0," [[4], [0], [8], [5], [1], [9]]",6,0,0.125713,0," [[5], [1], [9], [4], [0], [8]]",6,0,0.125085,0," [[5], [1], [9], [4], [0], [8]]"
eilon10_5 , Comp ,10,6,0.1,0.3,0,1.25243,1, [],0,0,0.122975,1, [],0,0,0.134676,1, []
eilon10_1 , Comp ,10,2,0.1,0.5,4,0.117993,0," [[9], [4, 6, 8]]",4,0,0.038832,0," [[6, 9], [4, 8]]",4,0,0.03598,0," [[6, 9], [4, 8]]"
eilon10_2 , Comp ,10,2,0.1,0.5,6,0.138518,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.024105,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.022019,0," [[6, 8, 9], [3, 5, 7]]"
eilon10_3 , Comp ,10,2,0.1,0.5,4,0.148599,0," [[0, 7], [6, 9]]",4,0,0.018719,0," [[4, 9], [1, 3]]",4,0,0.019435,0," [[4, 9], [1, 3]]"
