Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_1 , Cycle ,10,2,0.1,0.3,4,0.111898,0," [[4, 6, 9], [8]]",4,0,0.056596,0," [[8], [4, 6, 9]]",4,0,0.053872,0," [[8], [4, 6, 9]]"
eilon10_2 , Cycle ,10,2,0.1,0.3,5,0.140465,0," [[6, 8, 9], [3, 5]]",5,0,0.039418,0," [[3, 5], [6, 8, 9]]",5,0,0.036299,0," [[3, 5], [6, 8, 9]]"
eilon10_3 , Cycle ,10,2,0.1,0.3,4,0.220227,0," [[6, 9], [1, 3]]",4,0,0.036027,0," [[2, 6], [1, 3]]",4,0,0.036876,0," [[2, 6], [1, 3]]"
eilon10_4 , Cycle ,10,2,0.1,0.3,5,0.112311,0," [[1, 5], [0, 8, 9]]",5,0,0.034681,0," [[1, 5], [0, 4, 8]]",5,0,0.03133,0," [[1, 5], [0, 4, 8]]"
eilon10_5 , Cycle ,10,2,0.1,0.3,4,0.125985,0," [[1, 2], [3, 6]]",4,0,0.036918,0," [[1, 2], [3, 6]]",4,0,0.03451,0," [[1, 2], [3, 6]]"
eilon10_1 , Cycle ,10,6,0.1,0.3,0,1.420582,1, [],0,0,0.19581,1, [],0,0,0.204521,1, []
eilon10_2 , Cycle ,10,6,0.1,0.3,8,3.916844,0," [[8], [1, 6], [9], [5, 7], [4], [3]]",8,0,0.189484,0," [[7], [4], [3, 5], [8], [1, 6], [9]]",8,0,0.18917,0," [[7], [4], [3, 5], [8], [1, 6], [9]]"
eilon10_3 , Cycle ,10,6,0.1,0.3,8,3.431556,0," [[9], [1, 3], [2, 6], [4], [0], [7]]",8,1,0.172233,0," [[1, 3], [9], [7], [0], [4], [2, 6]]",8,1,0.182813,0," [[1, 3], [9], [7], [0], [4], [2, 6]]"
eilon10_4 , Cycle ,10,6,0.1,0.3,7,4.149067,0," [[6], [8], [1, 5], [9], [4], [0]]",7,2,0.150466,0," [[9], [1, 5], [4], [8], [6], [0]]",7,2,0.157625,0," [[9], [1, 5], [4], [8], [6], [0]]"
eilon10_5 , Cycle ,10,6,0.1,0.3,7,3.653525,0," [[5], [0], [3], [2], [6], [7, 9]]",7,16,0.486183,0," [[5], [7, 9], [6], [2], [3], [0]]",7,16,0.497496,0," [[5], [7, 9], [6], [2], [3], [0]]"
