Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_1 , Line ,10,2,0.1,0.3,4,0.160664,0," [[4, 6, 9], [8]]",4,0,0.050156,0," [[8], [4, 6, 9]]",4,0,0.046174,0," [[8], [4, 6, 9]]"
eilon10_2 , Line ,10,2,0.1,0.3,5,0.131318,0," [[6, 8, 9], [3, 5]]",5,0,0.034619,0," [[3, 5], [6, 8, 9]]",5,0,0.03649,0," [[3, 5], [6, 8, 9]]"
eilon10_3 , Line ,10,2,0.1,0.3,4,0.140933,0," [[6, 9], [1, 3]]",4,0,0.042223,0," [[2, 6], [1, 3]]",4,0,0.031845,0," [[2, 6], [1, 3]]"
eilon10_4 , Line ,10,2,0.1,0.3,5,0.107357,0," [[1, 5], [0, 8, 9]]",5,0,0.034459,0," [[1, 5], [0, 4, 8]]",5,0,0.031675,0," [[1, 5], [0, 4, 8]]"
eilon10_5 , Line ,10,2,0.1,0.3,4,0.12864,0," [[1, 2], [3, 6]]",4,0,0.035407,0," [[1, 2], [3, 6]]",4,0,0.043555,0," [[1, 2], [3, 6]]"
eilon10_1 , Line ,10,6,0.1,0.3,0,1.253395,1, [],0,0,0.138943,1, [],0,0,0.145458,1, []
eilon10_2 , Line ,10,6,0.1,0.3,9,0.611292,0," [[4], [3, 5, 7], [8], [1], [6, 9], [2]]",9,0,0.115277,0," [[4], [3, 7], [5], [6, 8, 9], [1], [2]]",9,0,0.088028,0," [[4], [3, 7], [5], [6, 8, 9], [1], [2]]"
eilon10_3 , Line ,10,6,0.1,0.3,9,2.147877,0," [[0, 7], [4], [6, 9], [2], [1, 3], [8]]",9,1,0.144337,0," [[5], [0], [7], [4, 9], [2, 6], [1, 3]]",9,1,0.151962,0," [[5], [0], [7], [4, 9], [2, 6], [1, 3]]"
eilon10_4 , Line ,10,6,0.1,0.3,9,0.905523,0," [[2, 3], [6], [0, 4], [9], [1, 5], [8]]",9,0,0.107121,0," [[2, 3], [6], [0], [4], [8, 9], [1, 5]]",9,0,0.108667,0," [[2, 3], [6], [0], [4], [8, 9], [1, 5]]"
eilon10_5 , Line ,10,6,0.1,0.3,8,5.382581,0," [[1, 2], [6], [7, 9], [5], [0], [3]]",8,1,0.129366,0," [[7, 9], [5], [0], [6], [3], [1, 2]]",8,1,0.137115,0," [[7, 9], [5], [0], [6], [3], [1, 2]]"
eilon10_1 , Line ,10,2,0.1,0.5,4,0.109429,0," [[9], [4, 6, 8]]",4,0,0.032511,0," [[6, 9], [4, 8]]",4,0,0.03243,0," [[6, 9], [4, 8]]"
eilon10_2 , Line ,10,2,0.1,0.5,6,0.196646,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.03367,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.025237,0," [[6, 8, 9], [3, 5, 7]]"
eilon10_3 , Line ,10,2,0.1,0.5,4,0.136001,0," [[0, 7], [6, 9]]",4,0,0.016872,0," [[4, 9], [1, 3]]",4,0,0.017481,0," [[4, 9], [1, 3]]"
eilon10_4 , Line ,10,2,0.1,0.5,5,0.112472,0," [[0, 4, 8], [1, 5]]",5,0,0.02452,0," [[1, 5], [0, 8, 9]]",5,0,0.024374,0," [[1, 5], [0, 8, 9]]"
eilon10_5 , Line ,10,2,0.1,0.5,4,0.155892,0," [[7, 9], [1, 2]]",4,0,0.02026,0," [[3, 4], [1, 2]]",4,0,0.023572,0," [[3, 4], [1, 2]]"
eilon10_1 , Line ,10,6,0.1,0.5,6,1.62268,0," [[5], [2], [1], [3], [7], [0]]",6,0,0.176363,0," [[0], [7], [3], [1], [5], [2]]",6,0,0.298707,0," [[0], [7], [3], [1], [5], [2]]"
eilon10_2 , Line ,10,6,0.1,0.5,10,0.653336,0," [[1], [2], [0], [4], [3, 5, 7], [6, 8, 9]]",10,0,0.048046,0," [[6, 8, 9], [1], [2], [0], [4], [3, 5, 7]]",10,0,0.04888,0," [[6, 8, 9], [1], [2], [0], [4], [3, 5, 7]]"
eilon10_3 , Line ,10,6,0.1,0.5,10,0.300547,0," [[8], [1, 3], [2, 6], [4, 9], [0, 7], [5]]",10,0,0.039192,0," [[2, 6], [8], [1, 3], [5], [0, 7], [4, 9]]",10,0,0.042171,0," [[2, 6], [8], [1, 3], [5], [0, 7], [4, 9]]"
eilon10_4 , Line ,10,6,0.1,0.5,10,1.286066,0," [[7], [1, 5], [8, 9], [6], [0, 4], [2, 3]]",10,0,0.047882,0," [[2, 3], [6], [7], [1, 5], [9], [0, 4, 8]]",10,0,0.046828,0," [[2, 3], [6], [7], [1, 5], [9], [0, 4, 8]]"
