Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_1 , Matching ,10,2,0.1,0.3,4,0.165459,0," [[4, 6, 9], [8]]",4,0,0.048459,0," [[8], [4, 6, 9]]",4,0,0.047642,0," [[8], [4, 6, 9]]"
eilon10_2 , Matching ,10,2,0.1,0.3,5,0.126209,0," [[6, 8, 9], [3, 5]]",5,0,0.041422,0," [[3, 5], [6, 8, 9]]",5,0,0.049589,0," [[3, 5], [6, 8, 9]]"
eilon10_3 , Matching ,10,2,0.1,0.3,4,0.14412,0," [[6, 9], [1, 3]]",4,0,0.031004,0," [[2, 6], [1, 3]]",4,0,0.031935,0," [[2, 6], [1, 3]]"
eilon10_4 , Matching ,10,2,0.1,0.3,5,0.136014,0," [[1, 5], [0, 8, 9]]",5,0,0.031026,0," [[1, 5], [0, 4, 8]]",5,0,0.051277,0," [[1, 5], [0, 4, 8]]"
eilon10_5 , Matching ,10,2,0.1,0.3,4,0.117809,0," [[1, 2], [3, 6]]",4,0,0.033246,0," [[1, 2], [3, 6]]",4,0,0.033517,0," [[1, 2], [3, 6]]"
eilon10_1 , Matching ,10,6,0.1,0.3,9,2.009543,0," [[6, 8, 9], [4], [0], [7], [1], [2, 5]]",9,0,0.094956,0," [[2, 5], [1], [4, 6, 9], [8], [0], [7]]",9,0,0.132187,0," [[2, 5], [1], [4, 6, 9], [8], [0], [7]]"
eilon10_2 , Matching ,10,6,0.1,0.3,9,0.537732,0," [[2], [9], [1, 6], [8], [4], [3, 5, 7]]",9,0,0.057471,0," [[2], [1, 6], [8, 9], [3], [4], [5, 7]]",9,0,0.056677,0," [[2], [1, 6], [8, 9], [3], [4], [5, 7]]"
eilon10_3 , Matching ,10,6,0.1,0.3,9,0.997974,0," [[5], [0], [2, 6], [4, 9], [8], [1, 3]]",9,0,0.068433,0," [[0], [7], [2, 6], [4, 9], [8], [1, 3]]",9,0,0.070411,0," [[0], [7], [2, 6], [4, 9], [8], [1, 3]]"
eilon10_4 , Matching ,10,6,0.1,0.3,9,1.07656,0," [[9], [0, 8], [4], [1, 5], [6], [2, 3]]",9,0,0.073928,0," [[2, 3], [6], [1, 5], [0, 8], [9], [4]]",9,0,0.075024,0," [[2, 3], [6], [1, 5], [0, 8], [9], [4]]"
eilon10_5 , Matching ,10,6,0.1,0.3,8,4.435437,0," [[7, 9], [5], [1], [8], [4], [3, 6]]",8.000001,0,0.071651,0," [[3, 4], [2], [6], [1], [7, 9], [5]]",8.000001,0,0.081266,0," [[3, 4], [2], [6], [1], [7, 9], [5]]"
eilon10_1 , Matching ,10,2,0.1,0.5,4,0.109481,0," [[9], [4, 6, 8]]",4,0,0.038288,0," [[6, 9], [4, 8]]",4,0,0.035203,0," [[6, 9], [4, 8]]"
eilon10_2 , Matching ,10,2,0.1,0.5,6,0.133418,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.025741,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.022966,0," [[6, 8, 9], [3, 5, 7]]"
eilon10_3 , Matching ,10,2,0.1,0.5,4,0.133979,0," [[0, 7], [6, 9]]",4,0,0.018584,0," [[4, 9], [1, 3]]",4,0,0.017414,0," [[4, 9], [1, 3]]"
