Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_1 , Star-Ring ,10,2,0.1,0.3,4,0.105411,0," [[4], [6, 8, 9]]",4,0,0.063446,0," [[6, 8], [4, 9]]",4,0,0.053461,0," [[6, 8], [4, 9]]"
eilon10_2 , Star-Ring ,10,2,0.1,0.3,5,0.126365,0," [[3, 5], [6, 8, 9]]",5,0,0.044147,0," [[3, 5], [6, 8, 9]]",5,0,0.061989,0," [[3, 5], [6, 8, 9]]"
eilon10_3 , Star-Ring ,10,2,0.1,0.3,4,0.170927,0," [[6, 9], [1, 3]]",4,0,0.039237,0," [[2, 6], [1, 3]]",4,0,0.042792,0," [[2, 6], [1, 3]]"
eilon10_4 , Star-Ring ,10,2,0.1,0.3,5,0.092041,0," [[0, 4, 8], [1, 5]]",5,0,0.037288,0," [[1, 5], [0, 4, 8]]",5,0,0.035843,0," [[1, 5], [0, 4, 8]]"
eilon10_5 , Star-Ring ,10,2,0.1,0.3,4,0.104016,0," [[1, 2], [3, 6]]",4,0,0.051416,0," [[1, 2], [3, 6]]",4,0,0.05593,0," [[1, 2], [3, 6]]"
eilon10_1 , Star-Ring ,10,6,0.1,0.3,0,0.640622,1, [],0,0,0.201425,1, [],0,0,0.170971,1, []
eilon10_2 , Star-Ring ,10,6,0.1,0.3,7,2.6051,0," [[3], [7], [9], [1, 6], [5], [8]]",7,0,0.180801,0," [[3], [4], [7], [8, 9], [1], [5]]",7,0,0.198891,0," [[3], [4], [7], [8, 9], [1], [5]]"
eilon10_3 , Star-Ring ,10,6,0.1,0.3,6,9.010669,0," [[6], [9], [3], [2], [4], [1]]",6,0,0.18362,0," [[3], [9], [1], [4], [6], [2]]",6,0,0.18562,0," [[3], [9], [1], [4], [6], [2]]"
eilon10_4 , Star-Ring ,10,6,0.1,0.3,7,8.270369,0," [[0], [4], [6], [8], [1, 5], [9]]",7,4,0.191316,0," [[0], [9], [4], [6], [8], [1, 5]]",7,4,0.204146,0," [[0], [9], [4], [6], [8], [1, 5]]"
eilon10_5 , Star-Ring ,10,6,0.1,0.3,0,2.796611,1, [],0,10,0.360203,1, [],0,10,0.374767,1, []
eilon10_1 , Star-Ring ,10,2,0.1,0.5,4,0.083444,0," [[6, 8], [4, 9]]",4,0,0.034168,0," [[6, 9], [4, 8]]",4,0,0.039409,0," [[6, 9], [4, 8]]"
eilon10_2 , Star-Ring ,10,2,0.1,0.5,6,0.087215,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.021236,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.023408,0," [[6, 8, 9], [3, 5, 7]]"
eilon10_3 , Star-Ring ,10,2,0.1,0.5,4,0.087674,0," [[0, 7], [6, 9]]",4,0,0.019898,0," [[4, 9], [1, 3]]",4,0,0.017949,0," [[4, 9], [1, 3]]"
eilon10_4 , Star-Ring ,10,2,0.1,0.5,5,0.086915,0," [[0, 4, 8], [1, 5]]",5,0,0.02191,0," [[1, 5], [0, 8, 9]]",5,0,0.026427,0," [[1, 5], [0, 8, 9]]"
