"Instance,GraphType,n,p,R,r,obj_NL,time_NL,gap_NL,C_NL,obj_IP1, numcuts_IP1 , TotalT_IP1,gap_IP1;C_IP1,obj_IP2, numcuts_IP2 , TotalT_IP2,gap_IP2,C_IP2"
"eilon10_1 ,Star-Ring,10,2,0.1,0.2,4,0.067666,0, [[4], [6, 8, 9]],4,0,0.072029,0; [[4], [6, 8, 9]],4,0,0.072478,0, [[4], [6, 8, 9]]"
"eilon10_2 ,Star-Ring,10,2,0.1,0.2,4,0.102069,0, [[8, 9], [3, 5]],4,0,0.055319,0; [[1], [6, 8, 9]],4,0,0.047076,0, [[1], [6, 8, 9]]"
"eilon10_3 ,Star-Ring,10,2,0.1,0.2,3,0.08844,0, [[2], [6, 9]],3,0,0.050739,0; [[2], [6, 9]],3,0,0.05106,0, [[2], [6, 9]]"
"eilon10_4 ,Star-Ring,10,2,0.1,0.2,4,0.119799,0, [[9], [0, 4, 8]],4,0,0.05752,0; [[8, 9], [1, 5]],4,0,0.048919,0, [[8, 9], [1, 5]]"
"eilon10_5 ,Star-Ring,10,2,0.1,0.2,3,0.102078,0, [[3, 6], [4]],3,0,0.050171,0; [[3, 6], [4]],3,0,0.051676,0, [[3, 6], [4]]"
"eilon10_1 ,Star-Ring,10,6,0.1,0.2,0,0.483661,1, [],0,0,0.232283,1; [],0,0,0.206566,1, []"
"eilon10_2 ,Star-Ring,10,6,0.1,0.2,0,1.218122,1, [],0,0,0.184621,1; [],0,0,0.258758,1, []"
"eilon10_3 ,Star-Ring,10,6,0.1,0.2,0,1.173369,1, [],0,0,0.150123,1; [],0,0,0.153731,1, []"
"eilon10_4 ,Star-Ring,10,6,0.1,0.2,0,1.401558,1, [],0,0,0.150909,1; [],0,0,0.160054,1, []"
"eilon10_5 ,Star-Ring,10,6,0.1,0.2,0,0.704824,1, [],0,0,0.122607,1; [],0,0,0.128757,1, []"
"eilon10_1 ,Star-Ring,10,2,0.1,0.5,4,0.086197,0, [[6, 8], [4, 9]],4,0,0.037028,0; [[6, 9], [4, 8]],4,0,0.036225,0, [[6, 9], [4, 8]]"
"eilon10_2 ,Star-Ring,10,2,0.1,0.5,6,0.085636,0, [[6, 8, 9], [3, 5, 7]],6,0,0.021094,0; [[6, 8, 9], [3, 5, 7]],6,0,0.022329,0, [[6, 8, 9], [3, 5, 7]]"
"eilon10_3 ,Star-Ring,10,2,0.1,0.5,4,0.101752,0, [[0, 7], [6, 9]],4,0,0.017173,0; [[4, 9], [1, 3]],4,0,0.018221,0, [[4, 9], [1, 3]]"
"eilon10_4 ,Star-Ring,10,2,0.1,0.5,5,0.092991,0, [[0, 4, 8], [1, 5]],5,0,0.019754,0; [[1, 5], [0, 8, 9]],5,0,0.020525,0, [[1, 5], [0, 8, 9]]"
"eilon10_5 ,Star-Ring,10,2,0.1,0.5,4,0.088381,0, [[1, 2], [3, 6]],4,0,0.019046,0; [[3, 4], [1, 2]],4,0,0.021382,0, [[3, 4], [1, 2]]"
"eilon10_1 ,Star-Ring,10,6,0.1,0.5,0,0.766763,1, [],0,0,0.165045,1; [],0,0,0.193846,1, []"
"eilon10_2 ,Star-Ring,10,6,0.1,0.5,9,1.289644,0, [[5, 7], [3], [4], [1], [6, 8, 9], [2]],9,0,0.068978,0; [[7], [6, 8, 9], [3, 5], [4], [1], [2]],9,0,0.064137,0, [[7], [6, 8, 9], [3, 5], [4], [1], [2]]"
"eilon10_3 ,Star-Ring,10,6,0.1,0.5,10,1.353003,0, [[1, 3], [2, 6], [8], [5], [0, 7], [4, 9]],10,0,0.051173,0; [[1, 3], [2, 6], [4, 9], [0, 7], [5], [8]],10,0,0.043643,0, [[1, 3], [2, 6], [4, 9], [0, 7], [5], [8]]"
"eilon10_4 ,Star-Ring,10,6,0.1,0.5,9,0.625676,0, [[6], [0, 8, 9], [4], [3], [7], [1, 5]],9,0,0.069486,0; [[6], [0, 4], [1, 5], [7], [8], [2, 3]],9,0,0.06601,0, [[6], [0, 4], [1, 5], [7], [8], [2, 3]]"
"eilon10_5 ,Star-Ring,10,6,0.1,0.5,9,1.825416,0, [[6], [7, 9], [1, 2], [3, 4], [0], [5]],9,0,0.059025,0; [[3, 6], [7, 9], [1, 2], [4], [0], [5]],9,0,0.057256,0, [[3, 6], [7, 9], [1, 2], [4], [0], [5]]"
"eilon10_1 ,Star-Ring,10,2,0.2,0.2,4,0.071849,0, [[8], [4, 6, 9]],4,0,0.048162,0; [[8, 9], [4, 6]],4,0,0.052625,0, [[8, 9], [4, 6]]"
"eilon10_2 ,Star-Ring,10,2,0.2,0.2,6,0.124504,0, [[3, 5], [1, 6, 8, 9]],6,0,0.030204,0; [[1, 6, 8, 9], [3, 5]],6,0,0.030603,0, [[1, 6, 8, 9], [3, 5]]"
"eilon10_3 ,Star-Ring,10,2,0.2,0.2,5,0.140825,0, [[4, 6, 9], [1, 3]],5,0,0.028001,0; [[1, 2, 6], [4, 9]],5,0,0.027264,0, [[1, 2, 6], [4, 9]]"
"eilon10_4 ,Star-Ring,10,2,0.2,0.2,6,0.136947,0, [[0, 4], [1, 5, 8, 9]],6,0,0.03064,0; [[0, 4, 8, 9], [1, 5]],6,0,0.027257,0, [[0, 4, 8, 9], [1, 5]]"
"eilon10_5 ,Star-Ring,10,2,0.2,0.2,5,0.104937,0, [[3, 4], [1, 2, 6]],5,0,0.028824,0; [[1, 2, 6], [3, 4]],5,0,0.031061,0, [[1, 2, 6], [3, 4]]"
"eilon10_1 ,Star-Ring,10,6,0.2,0.2,0,0.618755,1, [],0,0,0.14401,1; [],0,0,0.142937,1, []"
"eilon10_2 ,Star-Ring,10,6,0.2,0.2,8,3.120141,0, [[9], [1], [3, 5, 7], [8], [2], [6]],8,0,0.091566,0; [[8], [3, 7], [9], [1, 2], [6], [5]],8,0,0.086901,0, [[8], [3, 7], [9], [1, 2], [6], [5]]"
"eilon10_3 ,Star-Ring,10,6,0.2,0.2,8,3.299218,0, [[9], [4], [2, 6], [1], [3], [0, 7]],8,2,0.163073,0; [[9], [0, 7], [3], [1, 6], [2], [4]],8,2,0.177837,0, [[9], [0, 7], [3], [1, 6], [2], [4]]"
"eilon10_4 ,Star-Ring,10,6,0.2,0.2,7,5.996015,0, [[1], [9], [5], [4, 8], [6], [0]],7,0,0.105572,0; [[1], [8, 9], [0], [4], [5], [6]],7,0,0.120846,0, [[1], [8, 9], [0], [4], [5], [6]]"
"eilon10_5 ,Star-Ring,10,6,0.2,0.2,7,4.865437,0, [[6], [3], [1, 2], [9], [7], [0]],7,64,1.767476,0; [[6], [3], [0], [7], [9], [1, 2]],7,64,1.802259,0, [[6], [3], [0], [7], [9], [1, 2]]"
"eilon10_1 ,Star-Ring,10,2,0.2,0.5,6,0.078903,0, [[4, 6, 8, 9], [0, 7]],6,0,0.018811,0; [[2, 5], [4, 6, 8, 9]],6,0,0.023191,0, [[2, 5], [4, 6, 8, 9]]"
"eilon10_2 ,Star-Ring,10,2,0.2,0.5,7,0.126417,0, [[1, 6, 8, 9], [3, 5, 7]],7,0,0.021411,0; [[1, 6, 8, 9], [3, 5, 7]],7,0,0.018696,0, [[1, 6, 8, 9], [3, 5, 7]]"
