Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_1 , Star ,10,2,0.1,0.3,4,0.105411,0," [[4], [6, 8, 9]]",4,0,0.019528,0," [[6, 8], [4, 9]]",4,0,0.046174,0," [[8], [4, 6, 9]]"
eilon10_1 , Star ,10,2,0.1,0.5,4,0.083444,0," [[6, 8], [4, 9]]",4,0,0.013381,0," [[6, 9], [4, 8]]",4,0,0.03243,0," [[6, 9], [4, 8]]"
eilon10_1 , Star ,10,2,0.2,0.3,4,0.104702,0," [[4], [6, 8, 9]]",4,0,0.017774,0," [[6], [4, 8, 9]]",4,0,0.043245,0," [[4], [6, 8, 9]]"
eilon10_1 , Star ,10,2,0.2,0.5,6,0.067851,0," [[4, 6, 8, 9], [0, 7]]",6,0,0.007718,0," [[2, 5], [4, 6, 8, 9]]",6,0,0.021223,0," [[2, 5], [4, 6, 8, 9]]"
eilon10_1 , Star ,10,2,0.3,0.3,6,0.117745,0," [[4, 6, 8, 9], [1, 2]]",6,2,0.020799,0," [[4, 6, 8, 9], [0, 7]]",6,2,0.051621,0," [[4, 6, 8, 9], [0, 7]]"
eilon10_1 , Star ,10,2,0.3,0.5,7,0.058564,0," [[4, 6, 8, 9], [1, 2, 5]]",7,0,0.00665,0," [[1, 2, 5], [4, 6, 8, 9]]",7,0,0.016936,0," [[1, 2, 5], [4, 6, 8, 9]]"
eilon10_2 , Star ,10,2,0.1,0.3,5,0.126365,0," [[3, 5], [6, 8, 9]]",5,0,0.013627,0," [[3, 5], [6, 8, 9]]",5,0,0.03649,0," [[3, 5], [6, 8, 9]]"
eilon10_2 , Star ,10,2,0.1,0.5,6,0.087215,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.008678,0," [[6, 8, 9], [3, 5, 7]]",6,0,0.025237,0," [[6, 8, 9], [3, 5, 7]]"
eilon10_2 , Star ,10,2,0.2,0.3,7,0.057192,0," [[3, 5, 7], [1, 6, 8, 9]]",7,0,0.008688,0," [[1, 6, 8, 9], [3, 5, 7]]",7,0,0.025747,0," [[1, 6, 8, 9], [3, 5, 7]]"
eilon10_2 , Star ,10,2,0.2,0.5,7,0.130541,0," [[1, 6, 8, 9], [3, 5, 7]]",7,0,0.00687,0," [[1, 6, 8, 9], [3, 5, 7]]",7,0,0.023647,0," [[1, 6, 8, 9], [3, 5, 7]]"
eilon10_2 , Star ,10,2,0.3,0.3,9,0.100403,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]",9,0,0.010016,0," [[1, 2, 6, 8, 9], [3, 4, 5, 7]]",9,0,0.026673,0," [[1, 2, 6, 8, 9], [3, 4, 5, 7]]"
eilon10_2 , Star ,10,2,0.3,0.5,9,0.16106,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]",9,0,0.00909,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]",9,0,0.028608,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]"
eilon10_3 , Star ,10,2,0.1,0.3,4,0.170927,0," [[6, 9], [1, 3]]",4,0,0.014088,0," [[2, 6], [1, 3]]",4,0,0.031845,0," [[2, 6], [1, 3]]"
eilon10_3 , Star ,10,2,0.1,0.5,4,0.087674,0," [[0, 7], [6, 9]]",4,0,0.007303,0," [[4, 9], [1, 3]]",4,0,0.017481,0," [[4, 9], [1, 3]]"
eilon10_3 , Star ,10,2,0.2,0.3,6,0.116016,0," [[2, 6, 9], [1, 3, 8]]",6,0,0.008022,0," [[2, 6, 9], [1, 3, 8]]",6,0,0.019338,0," [[2, 6, 9], [1, 3, 8]]"
