longitude 	 latitude 	 weight
0.075000 	 0.427065 	 1.000000
0.125000 	 0.025121 	 1.000000
0.125000 	 0.075364 	 1.000000
0.125000 	 0.125607 	 1.000000
0.175000 	 0.401943 	 1.000000
0.225000 	 0.477307 	 1.000000
0.250000 	 0.226093 	 1.000000
0.300000 	 0.477307 	 1.000000
0.325000 	 0.351700 	 1.000000
0.375000 	 0.226093 	 1.000000
0.375000 	 0.452186 	 1.000000
0.400000 	 0.276336 	 1.000000
0.400000 	 0.326579 	 1.000000
0.400000 	 0.376822 	 1.000000
0.400000 	 0.477307 	 1.000000
0.425000 	 0.000000 	 1.000000
0.425000 	 0.000173 	 1.000000
0.425000 	 0.025121 	 1.000000
0.425000 	 0.100486 	 1.000000
0.425000 	 0.175850 	 1.000000
0.425000 	 0.401943 	 1.000000
0.450000 	 0.427065 	 1.000000
0.500000 	 0.251214 	 1.000000
0.525000 	 0.150729 	 1.000000
0.550000 	 0.326579 	 1.000000
0.575000 	 0.427065 	 1.000000
0.600000 	 0.326579 	 1.000000
0.625000 	 0.401943 	 1.000000
0.650000 	 0.326579 	 1.000000
0.700000 	 0.326579 	 1.000000
0.700000 	 0.427065 	 1.000000
0.800000 	 0.351700 	 1.000000
0.850000 	 0.326579 	 1.000000
0.850000 	 0.376822 	 1.000000
0.900000 	 0.301457 	 1.000000
0.925000 	 0.226093 	 1.000000
0.975000 	 0.175850 	 1.000000
0.975000 	 0.427065 	 1.000000
1.000000 	 0.075364 	 1.000000
1.000000 	 0.251214 	 1.000000
0.150000 	 0.628036 	 1.000000
0.225000 	 0.602915 	 1.000000
0.250000 	 0.628036 	 1.000000
0.275000 	 0.527550 	 1.000000
0.300000 	 0.577793 	 1.000000
0.325000 	 0.577793 	 1.000000
0.350000 	 0.527550 	 1.000000
0.375000 	 0.602915 	 1.000000
0.400000 	 0.552672 	 1.000000
0.400000 	 0.602915 	 1.000000
0.425000 	 0.552672 	 1.000000
0.425000 	 0.628036 	 1.000000
0.450000 	 0.477307 	 1.000000
0.450000 	 0.552672 	 1.000000
0.450000 	 0.577793 	 1.000000
0.475000 	 0.477307 	 1.000000
0.475173 	 0.477307 	 1.000000
0.500000 	 0.502429 	 1.000000
0.500000 	 0.628036 	 1.000000
0.525000 	 0.477307 	 1.000000
0.525000 	 0.552672 	 1.000000
0.550000 	 0.477307 	 1.000000
0.550000 	 0.577793 	 1.000000
0.550000 	 0.602915 	 1.000000
0.600000 	 0.477307 	 1.000000
0.600000 	 0.502429 	 1.000000
0.600000 	 0.552672 	 1.000000
0.625000 	 0.502429 	 1.000000
0.625000 	 0.602915 	 1.000000
0.650000 	 0.502429 	 1.000000
0.650000 	 0.552672 	 1.000000
0.650000 	 0.577793 	 1.000000
0.700000 	 0.502429 	 1.000000
0.700000 	 0.602915 	 1.000000
0.725000 	 0.527550 	 1.000000
0.725000 	 0.552672 	 1.000000
0.725000 	 0.577793 	 1.000000
0.750000 	 0.477307 	 1.000000
0.850000 	 0.602915 	 1.000000
0.950000 	 0.577793 	 1.000000
0.050000 	 0.653158 	 1.000000
0.125000 	 0.653158 	 1.000000
0.275000 	 0.653158 	 1.000000
0.275000 	 0.703400 	 1.000000
0.300000 	 0.678279 	 1.000000
0.325000 	 0.703400 	 1.000000
0.325000 	 0.728522 	 1.000000
0.350000 	 0.653158 	 1.000000
0.350000 	 0.728522 	 1.000000
0.400000 	 0.678279 	 1.000000
0.450000 	 0.653158 	 1.000000
0.475000 	 0.653158 	 1.000000
0.475000 	 0.678279 	 1.000000
0.475000 	 0.728522 	 1.000000
0.525000 	 0.653158 	 1.000000
0.525000 	 0.703400 	 1.000000
0.550000 	 0.628036 	 1.000000
0.550000 	 0.653158 	 1.000000
0.575000 	 0.653158 	 1.000000
0.575000 	 0.678279 	 1.000000
0.575000 	 0.703400 	 1.000000
0.575173 	 0.653158 	 1.000000
0.600000 	 0.678279 	 1.000000
0.625000 	 0.653158 	 1.000000
0.625000 	 0.678279 	 1.000000
0.625000 	 0.703400 	 1.000000
0.650000 	 0.628036 	 1.000000
0.650000 	 0.653158 	 1.000000
0.650000 	 0.703400 	 1.000000
0.675000 	 0.628036 	 1.000000
0.675000 	 0.678279 	 1.000000
0.700000 	 0.653158 	 1.000000
0.725000 	 0.678279 	 1.000000
0.775000 	 0.653158 	 1.000000
0.775000 	 0.703400 	 1.000000
0.825000 	 0.653158 	 1.000000
0.825000 	 0.703400 	 1.000000
0.850000 	 0.678279 	 1.000000
0.850000 	 0.703400 	 1.000000
0.875000 	 0.628036 	 1.000000
0.175000 	 0.803886 	 1.000000
0.250000 	 0.803886 	 1.000000
0.300000 	 0.829008 	 1.000000
0.325000 	 0.803886 	 1.000000
0.375000 	 0.753643 	 1.000000
0.400000 	 0.753643 	 1.000000
0.400000 	 0.803886 	 1.000000
0.400173 	 0.753643 	 1.000000
0.425000 	 0.753643 	 1.000000
0.425000 	 0.778765 	 1.000000
0.425000 	 0.803886 	 1.000000
0.425000 	 0.829008 	 1.000000
0.450000 	 0.829008 	 1.000000
0.450173 	 0.829008 	 1.000000
0.475000 	 0.829008 	 1.000000
0.500000 	 0.728522 	 1.000000
0.500000 	 0.778765 	 1.000000
0.525000 	 0.753643 	 1.000000
0.525000 	 0.803886 	 1.000000
0.525000 	 0.829008 	 1.000000
0.525173 	 0.829008 	 1.000000
0.550000 	 0.728522 	 1.000000
0.550000 	 0.753643 	 1.000000
0.550000 	 0.803886 	 1.000000
