longitude 	 latitude 	 weight
0.546698 	 0.934622 	 559.000000
0.553681 	 0.935083 	 1212.000000
0.551935 	 0.949816 	 1897.000000
0.556590 	 0.954420 	 348.000000
0.558336 	 0.977440 	 1666.000000
0.565610 	 0.959484 	 734.000000
0.562118 	 0.953959 	 814.000000
0.560663 	 0.946593 	 1524.000000
0.559500 	 0.932781 	 307.000000
0.574047 	 0.944751 	 221.000000
0.577539 	 0.950737 	 2617.000000
0.573174 	 0.952578 	 965.000000
0.578702 	 0.969613 	 468.000000
0.568810 	 0.986188 	 473.000000
0.584812 	 1.000000 	 229.000000
0.585103 	 0.983886 	 632.000000
0.587140 	 0.942910 	 10691.000000
0.590922 	 0.943831 	 1143.000000
0.588013 	 0.933702 	 1151.000000
0.590631 	 0.937385 	 1300.000000
0.689264 	 0.941989 	 2137.000000
0.684027 	 0.940608 	 1042.000000
0.674425 	 0.941529 	 932.000000
0.666861 	 0.936924 	 4347.000000
0.643294 	 0.927256 	 1321.000000
0.640384 	 0.932781 	 2760.000000
0.634274 	 0.941529 	 296.000000
0.629037 	 0.957182 	 1068.000000
0.623218 	 0.961786 	 251.000000
0.636602 	 0.933702 	 1376.000000
0.615653 	 0.937385 	 2523.000000
0.616235 	 0.947514 	 3234.000000
0.609252 	 0.956722 	 567.000000
0.596450 	 0.972836 	 633.000000
0.594414 	 0.981584 	 262.000000
0.597905 	 0.980663 	 526.000000
0.595868 	 0.990792 	 115.000000
0.595868 	 0.995856 	 183.000000
0.599651 	 0.994936 	 119.000000
0.599651 	 0.989871 	 270.000000
0.609543 	 0.983886 	 172.000000
0.606343 	 0.976980 	 3781.000000
0.595287 	 0.928637 	 612.000000
0.708467 	 0.927256 	 16732.000000
0.693628 	 0.929558 	 2624.000000
0.699738 	 0.937385 	 284.000000
0.234798 	 0.817219 	 699.000000
0.236543 	 0.844843 	 1345.000000
0.239744 	 0.836096 	 517.000000
0.244981 	 0.815838 	 280.000000
0.243235 	 0.825506 	 630.000000
0.245854 	 0.839779 	 263.000000
0.254582 	 0.837937 	 219.000000
0.255455 	 0.833794 	 143.000000
0.254873 	 0.821823 	 559.000000
0.266511 	 0.820442 	 569.000000
0.266511 	 0.833794 	 767.000000
0.263020 	 0.842541 	 163.000000
0.333430 	 0.836556 	 991.000000
0.335176 	 0.829190 	 749.000000
0.345359 	 0.834715 	 2317.000000
0.347978 	 0.838858 	 1190.000000
0.345650 	 0.841621 	 580.000000
0.347105 	 0.820902 	 550.000000
0.347687 	 0.814457 	 1495.000000
0.362525 	 0.816759 	 1535.000000
0.365726 	 0.822284 	 852.000000
0.330230 	 0.825046 	 212.000000
0.342450 	 0.816759 	 580.000000
0.372418 	 0.872928 	 11197.000000
0.374164 	 0.825967 	 883.000000
0.380273 	 0.820442 	 688.000000
0.356706 	 0.819982 	 315.000000
0.377655 	 0.833794 	 591.000000
0.369217 	 0.834254 	 5687.000000
0.385220 	 0.831492 	 1019.000000
0.352633 	 0.837477 	 4853.000000
0.354670 	 0.846225 	 7599.000000
0.362525 	 0.841621 	 17878.000000
0.369217 	 0.855893 	 11455.000000
0.369217 	 0.846685 	 8184.000000
0.374745 	 0.858195 	 16852.000000
0.381437 	 0.857274 	 15463.000000
0.385511 	 0.818600 	 974.000000
0.364271 	 0.830110 	 9502.000000
0.362525 	 0.825506 	 1635.000000
0.347105 	 0.849908 	 2229.000000
0.350887 	 0.872928 	 18646.000000
0.343323 	 0.865562 	 1006.000000
0.355834 	 0.854972 	 8419.000000
0.358743 	 0.858656 	 5671.000000
0.375327 	 0.889042 	 19718.000000
0.379110 	 0.883057 	 1068.000000
0.405586 	 0.830110 	 1381.000000
0.391039 	 0.865101 	 780.000000
0.396858 	 0.859116 	 613.000000
0.390457 	 0.848527 	 5558.000000
0.393657 	 0.849908 	 3984.000000
0.485598 	 0.841160 	 673.000000
0.390748 	 0.826427 	 988.000000
0.394821 	 0.838398 	 12570.000000
0.395112 	 0.820902 	 3126.000000
0.402386 	 0.822284 	 433.000000
0.400349 	 0.832413 	 4177.000000
