longitude 	 latitude 	 weight
0.500104 	 0.644143 	 50.000000
0.499481 	 0.684581 	 4.000000
0.525649 	 0.615967 	 33.000000
0.522118 	 0.646752 	 15.000000
0.517965 	 0.687712 	 1.000000
0.512357 	 0.740412 	 5.000000
0.509450 	 0.762588 	 87.000000
0.504258 	 0.811897 	 45.000000
0.565524 	 0.607879 	 41.000000
0.546625 	 0.627185 	 23.000000
0.546625 	 0.653274 	 26.000000
0.541018 	 0.697887 	 301.000000
0.536241 	 0.738847 	 53.000000
0.525234 	 0.762588 	 1.000000
0.528141 	 0.784242 	 80.000000
0.524611 	 0.816332 	 118.000000
0.511319 	 0.835899 	 1.000000
0.624714 	 0.591443 	 1.000000
0.594600 	 0.558831 	 15.000000
0.585462 	 0.586486 	 12.000000
0.587954 	 0.639447 	 60.000000
0.575078 	 0.666580 	 35.000000
0.567394 	 0.690843 	 138.000000
0.559917 	 0.717715 	 1.000000
0.559917 	 0.744586 	 173.000000
0.552856 	 0.786851 	 61.000000
0.539564 	 0.819723 	 1.000000
0.550779 	 0.822854 	 21.000000
0.600623 	 0.543699 	 8.000000
0.609969 	 0.597443 	 18.000000
0.607269 	 0.640490 	 35.000000
0.596885 	 0.666841 	 17.000000
0.611007 	 0.667623 	 22.000000
0.597715 	 0.702583 	 60.000000
0.586501 	 0.752152 	 65.000000
0.580478 	 0.790764 	 54.000000
0.574455 	 0.828855 	 39.000000
0.500935 	 0.720324 	 1.000000
0.421807 	 0.472476 	 5.000000
0.412253 	 0.416906 	 115.000000
0.428245 	 0.412210 	 30.000000
0.434891 	 0.512131 	 98.000000
0.453998 	 0.500130 	 61.000000
0.446729 	 0.415080 	 79.000000
0.478505 	 0.421341 	 8.000000
0.474974 	 0.446126 	 193.000000
0.448598 	 0.434125 	 4.000000
0.522534 	 0.473259 	 654.000000
0.486812 	 0.501696 	 63.000000
0.472274 	 0.521002 	 22.000000
0.522534 	 0.510827 	 283.000000
0.511734 	 0.530655 	 150.000000
0.490758 	 0.546308 	 153.000000
0.507996 	 0.570050 	 20.000000
0.530010 	 0.539525 	 10.000000
0.530841 	 0.565093 	 13.000000
0.522949 	 0.583355 	 3.000000
0.545379 	 0.338116 	 19.000000
0.556594 	 0.407775 	 444.000000
0.561994 	 0.462301 	 54.000000
0.582970 	 0.525698 	 25.000000
0.558255 	 0.514219 	 21.000000
0.567601 	 0.399948 	 13.000000
0.575493 	 0.458909 	 19.000000
0.580062 	 0.494391 	 26.000000
0.476012 	 0.567702 	 90.000000
0.502804 	 0.614923 	 105.000000
0.422015 	 0.438299 	 73.000000
0.553479 	 0.339943 	 3.000000
0.638837 	 0.627968 	 1.000000
0.636552 	 0.648578 	 46.000000
0.626999 	 0.667362 	 28.000000
0.636760 	 0.729977 	 160.000000
0.632606 	 0.761544 	 1.000000
0.641952 	 0.807722 	 65.000000
0.615784 	 0.840595 	 152.000000
0.669367 	 0.639186 	 1.000000
0.664174 	 0.692669 	 61.000000
0.684320 	 0.732325 	 102.000000
0.664590 	 0.771197 	 49.000000
0.678920 	 0.817636 	 43.000000
0.689720 	 0.660840 	 1.000000
0.690966 	 0.777459 	 48.000000
0.602077 	 0.798330 	 49.000000
0.700727 	 0.816593 	 27.000000
0.649844 	 0.703366 	 19.000000
0.713188 	 0.871119 	 33.000000
0.726480 	 0.839290 	 1.000000
0.722326 	 0.825202 	 1.000000
0.587124 	 0.906340 	 49.000000
0.587539 	 0.943908 	 54.000000
0.582970 	 0.979390 	 30.000000
0.581516 	 0.997391 	 12.000000
0.613707 	 0.869293 	 34.000000
0.611630 	 0.907905 	 58.000000
0.609346 	 0.949126 	 61.000000
0.606646 	 0.982520 	 23.000000
0.604569 	 1.000000 	 12.000000
0.646314 	 0.876337 	 96.000000
0.633229 	 0.911818 	 37.000000
0.631776 	 0.951996 	 46.000000
0.627622 	 0.995043 	 25.000000
0.655036 	 0.923819 	 52.000000
0.647352 	 0.957214 	 35.000000
0.677051 	 0.925646 	 33.000000
0.676428 	 0.959823 	 26.000000
0.677051 	 0.977041 	 28.000000
0.700727 	 0.930864 	 39.000000
0.696366 	 0.975737 	 32.000000
0.724403 	 0.902426 	 39.000000
0.718380 	 0.932690 	 36.000000
0.720042 	 0.957214 	 25.000000
0.719834 	 0.974693 	 22.000000
0.742264 	 0.913906 	 17.000000
0.743094 	 0.950170 	 32.000000
0.704881 	 0.896165 	 33.000000
0.473520 	 0.853900 	 88.000000
0.448598 	 0.907383 	 18.000000
0.424714 	 0.986694 	 1.000000
0.471443 	 0.900600 	 62.000000
0.456906 	 0.941038 	 26.000000
0.501350 	 0.857553 	 20.000000
0.489304 	 0.901122 	 67.000000
0.469574 	 0.962171 	 34.000000
0.457944 	 0.998696 	 1.000000
0.522326 	 0.855466 	 127.000000
0.512357 	 0.908166 	 42.000000
0.499273 	 0.925646 	 84.000000
0.479958 	 0.988521 	 18.000000
0.504258 	 0.951996 	 37.000000
0.496366 	 0.985912 	 26.000000
0.534995 	 0.873206 	 96.000000
0.545379 	 0.913645 	 103.000000
0.527518 	 0.983303 	 34.000000
0.541848 	 0.972867 	 6.000000
0.562825 	 0.902948 	 38.000000
0.559917 	 0.941560 	 94.000000
0.557217 	 0.984868 	 32.000000
0.425753 	 0.985129 	 185.000000
0.457944 	 0.998696 	 135.000000
0.605607 	 0.366815 	 6.000000
0.590862 	 0.394208 	 25.000000
0.594808 	 0.447169 	 16.000000
0.610177 	 0.492304 	 1.000000
0.640498 	 0.561179 	 24.000000
0.621391 	 0.422385 	 19.000000
0.613499 	 0.442212 	 46.000000
0.620145 	 0.477694 	 30.000000
0.617238 	 0.517610 	 21.000000
0.636345 	 0.530916 	 11.000000
0.653375 	 0.560657 	 33.000000
0.669159 	 0.591704 	 20.000000
0.628037 	 0.400209 	 23.000000
0.638214 	 0.420819 	 30.000000
0.636760 	 0.447430 	 43.000000
0.639045 	 0.474302 	 37.000000
0.633853 	 0.504044 	 6.000000
0.663136 	 0.529611 	 51.000000
0.669990 	 0.549178 	 62.000000
0.659190 	 0.468302 	 8.000000
0.669782 	 0.510044 	 25.000000
0.692212 	 0.529089 	 37.000000
0.689097 	 0.575007 	 21.000000
0.708411 	 0.540308 	 25.000000
0.667913 	 0.473780 	 40.000000
0.684528 	 0.487608 	 19.000000
